ID	Data	Link	Nazwa	Cena	Lokalizacja	Rocznik	Przebieg	Paliwo	Nadwozie	VAT	Do negocjacji	Oferta od	Marka pojazdu	Model pojazdu	Wersja	Kategoria	Napęd	Moc	Skrzynia biegów	Typ	Liczba drzwi	Liczba miejsc	Kolor	Perłowy	Kraj pochodzenia	Pierwsza rejestracja	Zarejestrowany w Polsce	Bezwypadkowy	Serwisowany w ASO	Stan	Pierwszy właściciel	Metalik	Możliwość finansowania	VIN	Pojemność skokowa	Wyposażenie
6069409698	2019-12-28 20:54:00	https://www.otomoto.pl/oferta/volkswagen-passat-pelna-historia-serwisowa-ID6CKCIO.html	Volkswagen Passat B6	19500PLN	Piaseczno, piaseczyński, Mazowieckie	2008	265 340 km	Diesel	Sedan	NIE	TAK	Osoby prywatnej	Volkswagen	Passat	B6 (2005-2010)	Osobowe	Na przednie koła	105 KM	Manualna	Sedan	5	5	Inny kolor	?	Holandia	?	Tak	Tak	?	Używane	?	?	?	wvwzzz3cz9e036324	1 896 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|ASR (KONTROLA TRAKCJI)|CZUJNIK ZMIERZCHU|ELEKTRYCZNIE USTAWIANE FOTELE|HAK|NAWIGACJA GPS|ŚWIATŁA PRZECIWMGIELNE|WIELOFUNKCYJNA KIEROWNICA|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|BLUETOOTH|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|ESP (STABILIZACJA TORU JAZDY)|KLIMATYZACJA DWUSTREFOWA|ODTWARZACZ DVD|TAPICERKA WELUROWA|CENTRALNY ZAMEK|IMMOBILIZER|WSPOMAGANIE KIEROWNICY|CZUJNIK DESZCZU|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO USB|KURTYNY POWIETRZNE|RADIO NIEFABRYCZNE|TEMPOMAT
6069322818	2019-12-28 20:52:00	https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-b7-polecam-ID6CKg7v.html	Volkswagen Passat B7	32000PLN	Łomnica, jeleniogórski, Dolnośląskie	2011	205 000 km	Diesel	Kombi	NIE	TAK	Osoby prywatnej	Volkswagen	Passat	B7 (2010-2014)	Osobowe	Na przednie koła	105 KM	Manualna	Kombi	5	5	Brązowy	?	Niemcy	05/05/2011	Tak	Tak	?	Używane	?	Tak	?	WVWZZZ3CZBE390957	1 600 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|BLUETOOTH|GNIAZDO SD|KLIMATYZACJA CZTEROSTREFOWA|MP3|SYSTEM START-STOP|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALUFELGI|CZUJNIK ZMIERZCHU|GNIAZDO USB|KOMPUTER POKŁADOWY|NAWIGACJA GPS|TEMPOMAT|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ASR (KONTROLA TRAKCJI)|GNIAZDO AUX|HAK|KURTYNY POWIETRZNE|RELINGI DACHOWE|WIELOFUNKCYJNA KIEROWNICA
6069409878	2019-12-28 20:46:00	https://www.otomoto.pl/oferta/volkswagen-passat-passat-b6-2-0-tdi-140-km-fv-23-tanio-okazja-ID6CKCLI.html	Volkswagen Passat B6	11500PLN	Warszawa, Mazowieckie, Wola	2008	373 000 km	Diesel	Kombi	TAK	NIE	Osoby prywatnej	Volkswagen	Passat	B6 (2005-2010)	Osobowe	Na przednie koła	140 KM	Manualna	Kombi	5	5	Niebieski	?	?	?	Tak	Tak	?	Używane	?	Tak	?	?	1 968 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|PODGRZEWANE LUSTERKA BOCZNE|ŚWIATŁA PRZECIWMGIELNE|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALARM|ESP (STABILIZACJA TORU JAZDY)|KLIMATYZACJA DWUSTREFOWA|MP3|PODGRZEWANE PRZEDNIE SIEDZENIA|TAPICERKA WELUROWA|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|CZUJNIK DESZCZU|ISOFIX|KOMPUTER POKŁADOWY|ODTWARZACZ DVD|RELINGI DACHOWE|TEMPOMAT
6068447707	2019-12-28 20:45:00	https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-ledy-nawi-kamera-skory-faktura-vat-full-opcja-ID6CGAsP.html	Volkswagen Passat B8	69800PLN	Piła, pilski, Wielkopolskie	2017	104 000 km	Diesel	Kombi	TAK	TAK	Osoby prywatnej	Volkswagen	Passat	B8 (2014-)	Osobowe	Na przednie koła	150 KM	Automatyczna dwusprzęgłowa (DCT, DSG)	Kombi	4	5	Czarny	?	?	?	?	Tak	Tak	Używane	Tak	Tak	Tak	?	1 998 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|ASR (KONTROLA TRAKCJI)|CZUJNIK ZMIERZCHU|DACH PANORAMICZNY|ELEKTRYCZNE SZYBY TYLNE|ISOFIX|KLIMATYZACJA DWUSTREFOWA|MP3|PODGRZEWANE PRZEDNIE SIEDZENIA|PODUSZKI BOCZNE TYLNE|SYSTEM START-STOP|ŚWIATŁA LED|TEMPOMAT|ZMIENIARKA CD|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALARM|BLUETOOTH|CZUJNIKI PARKOWANIA PRZEDNIE|ELEKTROCHROMATYCZNE LUSTERKA BOCZNE|ESP (STABILIZACJA TORU JAZDY)|KAMERA COFANIA|KOMPUTER POKŁADOWY|NAWIGACJA GPS|PODUSZKA POWIETRZNA CHRONIĄCA KOLANA|PRZYCIEMNIANE SZYBY|SZYBERDACH|ŚWIATŁA PRZECIWMGIELNE|TEMPOMAT AKTYWNY|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ALUFELGI|CZUJNIK DESZCZU|CZUJNIKI PARKOWANIA TYLNE|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|GNIAZDO SD|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|PODGRZEWANE LUSTERKA BOCZNE|PODUSZKI BOCZNE PRZEDNIE|RELINGI DACHOWE|ŚWIATŁA DO JAZDY DZIENNEJ|TAPICERKA SKÓRZANA|WIELOFUNKCYJNA KIEROWNICA
6069140421	2019-12-28 20:23:00	https://www.otomoto.pl/oferta/volkswagen-passat-b7-bezwypadkowy-z-salonu-stan-bardzo-dobry-i-rejestracja-12-2014-ID6CJuFD.html	Volkswagen Passat B7	41900PLN	Stargard Szczeciński, stargardzki, Zachodniopomorskie	2014	198 000 km	Diesel	Sedan	NIE	TAK	Osoby prywatnej	Volkswagen	Passat	B7 (2010-2014)	Osobowe	Na przednie koła	140 KM	Manualna	Sedan	4	5	Inny kolor	?	Polska	29/12/2014	Tak	Tak	Tak	Używane	?	Tak	?	WVWZZZ3CZFE024657	1 968 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|ASR (KONTROLA TRAKCJI)|CZUJNIK DESZCZU|CZUJNIKI PARKOWANIA TYLNE|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO AUX|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|PODUSZKI BOCZNE PRZEDNIE|ŚWIATŁA DO JAZDY DZIENNEJ|ŚWIATŁA XENONOWE|WIELOFUNKCYJNA KIEROWNICA|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALARM|ASYSTENT PARKOWANIA|CZUJNIK ZMIERZCHU|ELEKTROCHROMATYCZNE LUSTERKA BOCZNE|ELEKTRYCZNIE USTAWIANE FOTELE|GNIAZDO SD|KLIMATYZACJA DWUSTREFOWA|NAWIGACJA GPS|PODUSZKI BOCZNE TYLNE|ŚWIATŁA LED|TAPICERKA WELUROWA|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ALUFELGI|BLUETOOTH|CZUJNIKI PARKOWANIA PRZEDNIE|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|ESP (STABILIZACJA TORU JAZDY)|GNIAZDO USB|KOMPUTER POKŁADOWY|PODGRZEWANE LUSTERKA BOCZNE|SYSTEM START-STOP|ŚWIATŁA PRZECIWMGIELNE|TEMPOMAT
6068866034	2019-12-28 20:07:00	https://www.otomoto.pl/oferta/volkswagen-passat-ID6CIli2.html	Volkswagen Passat B7	31600PLN	Dziadowa Kłoda, oleśnicki, Dolnośląskie	2012	229 000 km	Diesel	Kombi	NIE	TAK	Osoby prywatnej	Volkswagen	Passat	B7 (2010-2014)	Osobowe	?	140 KM	Manualna	Kombi	4	5	Szary	?	?	?	Tak	Tak	?	Używane	?	?	?	?	2 000 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA PASAŻERA|ALUFELGI|CZUJNIK DESZCZU|ELEKTROCHROMATYCZNE LUSTERKA BOCZNE|ELEKTRYCZNIE USTAWIANE FOTELE|GNIAZDO SD|KOMPUTER POKŁADOWY|NAWIGACJA GPS|PODGRZEWANE PRZEDNIE SIEDZENIA|SYSTEM START-STOP|ŚWIATŁA PRZECIWMGIELNE|TEMPOMAT|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|RADIO FABRYCZNE|ASR (KONTROLA TRAKCJI)|CZUJNIK ZMIERZCHU|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|ESP (STABILIZACJA TORU JAZDY)|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|ODTWARZACZ DVD|PODUSZKI BOCZNE PRZEDNIE|ŚWIATŁA DO JAZDY DZIENNEJ|ŚWIATŁA XENONOWE|WIELOFUNKCYJNA KIEROWNICA|CENTRALNY ZAMEK|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|BLUETOOTH|CZUJNIKI PARKOWANIA TYLNE|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO AUX|KLIMATYZACJA DWUSTREFOWA|MP3|PODGRZEWANE LUSTERKA BOCZNE|RELINGI DACHOWE|ŚWIATŁA LED|TAPICERKA WELUROWA
6066257823	2019-12-28 19:19:00	https://www.otomoto.pl/oferta/volkswagen-passat-business-1-5-tsi-150-km-dsg-wyprzedaz-rocznika-w-aso-rabat-20-000-zl-ID6CxoM7.html	Volkswagen Passat B8	115900PLN	Lubowidzka   42 - 80-174 Gdańsk, Jasień (Polska)	2019	1 km	Benzyna	Sedan	TAK	NIE	Firmy	Volkswagen	Passat	B8 (2014-)	Osobowe	Na przednie koła	150 KM	Automatyczna dwusprzęgłowa (DCT, DSG)	Sedan	5	5	Brązowy	?	?	?	?	Tak	?	Nowe	?	Tak	Tak	?	1 500 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|ASR (KONTROLA TRAKCJI)|CZUJNIK ZMIERZCHU|ELEKTROCHROMATYCZNE LUSTERKA BOCZNE|ESP (STABILIZACJA TORU JAZDY)|GNIAZDO USB|KLIMATYZACJA DWUSTREFOWA|ŁOPATKI ZMIANY BIEGÓW|OGRANICZNIK PRĘDKOŚCI|PODUSZKA POWIETRZNA CHRONIĄCA KOLANA|ŚWIATŁA DO JAZDY DZIENNEJ|WIELOFUNKCYJNA KIEROWNICA|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALARM|BLUETOOTH|CZUJNIKI PARKOWANIA PRZEDNIE|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|GNIAZDO AUX|ISOFIX|KOMPUTER POKŁADOWY|MP3|PODGRZEWANE LUSTERKA BOCZNE|PODUSZKI BOCZNE PRZEDNIE|ŚWIATŁA LED|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ALUFELGI|CZUJNIK DESZCZU|CZUJNIKI PARKOWANIA TYLNE|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO SD|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|NAWIGACJA GPS|PODGRZEWANE PRZEDNIE SIEDZENIA|SYSTEM START-STOP|TEMPOMAT AKTYWNY
6069321886	2019-12-28 18:49:00	https://www.otomoto.pl/oferta/volkswagen-passat-2-0-cr-tdi-150km-dsg-highline-wirtualny-kokpit-salon-polska-bezwypadk-ID6CKfSu.html	Volkswagen Passat B8	89790PLN	Poznań, Wielkopolskie, Grunwald	2016	89 000 km	Diesel	Kombi	TAK	TAK	Osoby prywatnej	Volkswagen	Passat	B8 (2014-)	Osobowe	Na przednie koła	150 KM	Automatyczna dwusprzęgłowa (DCT, DSG)	Kombi	5	5	Brązowy	?	?	?	Tak	Tak	Tak	Używane	Tak	Tak	?	WVWZZZ3CZGE153364	1 995 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|ASR (KONTROLA TRAKCJI)|CZUJNIK DESZCZU|CZUJNIKI PARKOWANIA PRZEDNIE|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|ESP (STABILIZACJA TORU JAZDY)|GNIAZDO USB|KOMPUTER POKŁADOWY|MP3|PODGRZEWANE LUSTERKA BOCZNE|PODUSZKI BOCZNE PRZEDNIE|RELINGI DACHOWE|ŚWIATŁA LED|TEMPOMAT|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALARM|ASYSTENT PASA RUCHU|CZUJNIK MARTWEGO POLA|CZUJNIKI PARKOWANIA TYLNE|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO AUX|ISOFIX|KURTYNY POWIETRZNE|NAWIGACJA GPS|PODGRZEWANE PRZEDNIE SIEDZENIA|PODUSZKI BOCZNE TYLNE|SYSTEM START-STOP|ŚWIATŁA PRZECIWMGIELNE|TEMPOMAT AKTYWNY|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ALUFELGI|BLUETOOTH|CZUJNIK ZMIERZCHU|ELEKTROCHROMATYCZNE LUSTERKA BOCZNE|ELEKTRYCZNIE USTAWIANE FOTELE|GNIAZDO SD|KLIMATYZACJA CZTEROSTREFOWA|ŁOPATKI ZMIANY BIEGÓW|OGRANICZNIK PRĘDKOŚCI|PODUSZKA POWIETRZNA CHRONIĄCA KOLANA|PRZYCIEMNIANE SZYBY|ŚWIATŁA DO JAZDY DZIENNEJ|TAPICERKA SKÓRZANA|WIELOFUNKCYJNA KIEROWNICA
6056160497	2019-12-28 18:31:00	https://www.otomoto.pl/oferta/volkswagen-passat-2-0tdi-150kmdsgfull-ledaccmasaznavipldvdfvat23-gwarancja-ID6BR201.html	Volkswagen Passat B8	49800PLN	Topolowa 4 - 62-200 Gniezno, gnieźnieński, Wielkopolskie (Polska)	2016	184 000 km	Diesel	Kombi	TAK	TAK	Firmy	Volkswagen	Passat	B8 (2014-)	Osobowe	Na przednie koła	150 KM	Automatyczna dwusprzęgłowa (DCT, DSG)	Kombi	5	5	Czarny	Tak	Niemcy	?	?	Tak	Tak	Używane	Tak	Tak	Tak	?	2 000 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|ASR (KONTROLA TRAKCJI)|CZUJNIK DESZCZU|CZUJNIKI PARKOWANIA TYLNE|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO AUX|ISOFIX|KOMPUTER POKŁADOWY|NAWIGACJA GPS|OGRZEWANIE POSTOJOWE|PODUSZKA POWIETRZNA CHRONIĄCA KOLANA|PRZYCIEMNIANE SZYBY|ŚWIATŁA DO JAZDY DZIENNEJ|ŚWIATŁA XENONOWE|TEMPOMAT AKTYWNY|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALARM|ASYSTENT PASA RUCHU|CZUJNIK ZMIERZCHU|ELEKTROCHROMATYCZNE LUSTERKA BOCZNE|ELEKTRYCZNIE USTAWIANE FOTELE|GNIAZDO SD|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|ODTWARZACZ DVD|PODGRZEWANA PRZEDNIA SZYBA|PODUSZKI BOCZNE PRZEDNIE|RELINGI DACHOWE|ŚWIATŁA LED|TAPICERKA WELUROWA|WIELOFUNKCYJNA KIEROWNICA|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ALUFELGI|BLUETOOTH|CZUJNIKI PARKOWANIA PRZEDNIE|ELEKTROCHROMATYCZNE LUSTERKO WSTECZNE|ESP (STABILIZACJA TORU JAZDY)|GNIAZDO USB|KLIMATYZACJA CZTEROSTREFOWA|MP3|OGRANICZNIK PRĘDKOŚCI|PODGRZEWANE LUSTERKA BOCZNE|PODUSZKI BOCZNE TYLNE|SYSTEM START-STOP|ŚWIATŁA PRZECIWMGIELNE|TEMPOMAT
6069408646	2019-12-28 18:19:00	https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-kombi-navi-salon-pl-100-bezwypadkowy-ID6CKCrQ.html	Volkswagen Passat B8	59900PLN	Powsińska 64 - 02-903 Warszawa, Mokotów (Polska)	2016	116 000 km	Diesel	Kombi	TAK	TAK	Firmy	Volkswagen	Passat	B8 (2014-)	Osobowe	?	150 KM	Manualna	Kombi	5	5	Niebieski	?	Polska	?	Tak	Tak	Tak	Używane	Tak	Tak	Tak	?	2 000 cm3	ABS|ELEKTRYCZNE SZYBY PRZEDNIE|PODUSZKA POWIETRZNA KIEROWCY|WSPOMAGANIE KIEROWNICY|BLUETOOTH|CZUJNIKI PARKOWANIA PRZEDNIE|ESP (STABILIZACJA TORU JAZDY)|ISOFIX|KOMPUTER POKŁADOWY|NAWIGACJA GPS|PODUSZKI BOCZNE PRZEDNIE|ŚWIATŁA DO JAZDY DZIENNEJ|CD|ELEKTRYCZNIE USTAWIANE LUSTERKA|PODUSZKA POWIETRZNA PASAŻERA|ALUFELGI|CZUJNIK DESZCZU|CZUJNIKI PARKOWANIA TYLNE|GNIAZDO AUX|KLIMATYZACJA AUTOMATYCZNA|KURTYNY POWIETRZNE|OGRANICZNIK PRĘDKOŚCI|RELINGI DACHOWE|ŚWIATŁA LED|CENTRALNY ZAMEK|IMMOBILIZER|RADIO FABRYCZNE|ASR (KONTROLA TRAKCJI)|CZUJNIK ZMIERZCHU|ELEKTRYCZNE SZYBY TYLNE|GNIAZDO USB|KLIMATYZACJA DWUSTREFOWA|MP3|PODGRZEWANE LUSTERKA BOCZNE|SYSTEM START-STOP|ŚWIATŁA PRZECIWMGIELNE
